"long","lat","K","dK_dx","dK_dy"
-122.98,35.1,9.05540444010444e-07,1.14698594907789e-05,4.44695958256529e-07
-122.94,35.1,9.1295204331472e-07,4.8719387332572e-06,-1.4743604326153e-06
-122.9,35.1,8.88379369437798e-07,8.25172820592164e-06,-9.98758564458806e-06
-122.86,35.1,7.21919608694664e-07,1.49008221024102e-05,1.45155938310205e-06
-122.82,35.1,7.46112265079698e-07,9.86936091473136e-06,1.20113315891034e-05
-122.78,35.1,9.46301124898089e-07,2.59941653417656e-06,-2.20973434150052e-06
-122.74,35.1,9.09472219206414e-07,2.07803133519323e-06,-1.8009339045501e-05
-122.7,35.1,6.09316568448063e-07,6.41753995360189e-06,-8.2649733452212e-06
-122.66,35.1,4.71567012694376e-07,1.1866494121733e-05,4.30176791304507e-06
-122.62,35.1,5.43263144578461e-07,1.63293076337696e-05,2.18716132043258e-05
-122.58,35.1,9.07790031317223e-07,1.41541033620576e-05,2.721390562067e-05
-122.54,35.1,1.36135512499506e-06,1.54037501752153e-05,1.61298324501854e-05
-122.5,35.1,1.63018566583148e-06,1.96168327574336e-05,3.95739023969716e-06
-122.46,35.1,1.69614216982643e-06,2.21877348326145e-05,-2.12543013365881e-05
-122.42,35.1,1.34190381421663e-06,3.19223038909914e-05,-1.2680512824223e-05
-122.38,35.1,1.13056193381292e-06,3.08311661307381e-05,-1.30218040602799e-05
-122.34,35.1,9.13531866141583e-07,2.37478130672408e-05,-1.65803257033948e-05
-122.3,35.1,6.37193104418337e-07,1.64817038993299e-05,-5.77280288687561e-06
-122.26,35.1,5.4097972297041e-07,1.01442081153849e-05,1.16073143119712e-05
-122.22,35.1,7.34434961503263e-07,6.70289400082354e-06,3.92076348060773e-05
-122.18,35.1,1.38789554160455e-06,8.41283722206955e-07,6.22939934950344e-05
-122.14,35.1,2.42612876652179e-06,-1.41212894376149e-05,4.90198446551482e-05
-122.1,35.1,3.24312617744093e-06,-3.22941537488966e-05,-9.11334984758459e-06
-122.06,35.1,3.09123701331452e-06,-3.18657276179452e-05,-3.86860186586921e-05
-122.02,35.1,2.44647003566965e-06,-2.14739382043769e-05,-4.22911538819007e-05
-121.98,35.1,1.7416174709713e-06,-1.20260455771091e-05,-3.37342615195049e-05
-121.94,35.1,1.17937977897956e-06,-7.24003388939838e-06,-6.00863257380815e-06
-121.9,35.1,1.07923590274942e-06,-7.65545666676269e-06,9.77187698531958e-06
-121.86,35.1,1.24210051917141e-06,-8.85300977497208e-06,-4.84455120260954e-06
-121.82,35.1,1.16135799912792e-06,-1.10912701624988e-05,-1.85665162353694e-05
-121.78,35.1,8.51916061871765e-07,-8.50849832148961e-06,-2.16834706977772e-05
-121.74,35.1,4.90524883575478e-07,-4.0361385892441e-06,-9.96312659577868e-06
-121.7,35.1,3.24472773645833e-07,-2.34605497090149e-06,-9.45390416250476e-07
-121.66,35.1,3.08716266708326e-07,2.35231285988084e-07,3.08695144250741e-07
-121.62,35.1,3.13861185779171e-07,1.49794738568565e-06,3.08695144250741e-07
-123.98,35.14,1.00879966969721e-06,3.32676472369722e-05,-6.66143755058811e-06
-123.94,35.14,8.97775710520745e-07,1.96385088034762e-05,1.76974594319571e-05
-123.9,35.14,1.19273336772003e-06,8.02158053030762e-06,1.32796034007096e-05
-123.86,35.14,1.41406009106519e-06,-1.31056598211592e-06,-1.26692810820101e-05
-123.82,35.14,1.20290540636502e-06,4.13634171331994e-06,2.78587879481173e-06
-123.78,35.14,1.24933671961189e-06,1.32544710362636e-05,-7.74239321595764e-06
-123.74,35.14,1.12029683267926e-06,4.15089501672822e-05,-4.88739342539441e-06
-123.7,35.14,1.03884027558935e-06,5.67682283387793e-05,1.55522841360772e-05
-123.66,35.14,1.29804501119064e-06,5.23934435962776e-05,1.79333559290537e-05
-123.62,35.14,1.59693427667487e-06,5.35739102737195e-05,1.22007032476484e-05
-123.58,35.14,1.80027933080234e-06,4.65912062631763e-05,1.33691765545849e-05
-123.54,35.14,2.02309894004542e-06,4.48471944026909e-05,-1.38244334560254e-05
-123.5,35.14,1.79269171577833e-06,5.8432142201902e-05,-1.39602502997906e-05
-123.46,35.14,1.56002087744849e-06,1.21705406797411e-05,9.3416700353562e-06
-123.42,35.14,1.71571537803776e-06,-2.6235176361636e-05,7.16967772919253e-06
-123.38,35.14,1.83521000685763e-06,-2.46392421430425e-05,-1.25561747694577e-05
-123.34,35.14,1.62594042736667e-06,-2.66095236018823e-05,-2.27015061126725e-05
-123.3,35.14,1.24758199215546e-06,-2.53622563362536e-05,-1.42692661416726e-05
-123.26,35.14,1.00976088979425e-06,-1.43361740419021e-05,-1.42669032378284e-06
-123.22,35.14,9.85982717731208e-07,-1.05459788857832e-05,-7.1837596764601e-06
-123.18,35.14,8.66253389790206e-07,-1.23851746470604e-07,2.50798524979925e-05
-123.14,35.14,1.28425093142341e-06,6.37347365103645e-06,2.29254853153178e-05
-123.1,35.14,1.66634235334538e-06,5.61138339301278e-06,2.95948458423031e-07
-123.06,35.14,1.67127482765243e-06,7.97497608952613e-06,-1.67763080656386e-05
-123.02,35.14,1.39166969322512e-06,1.35368444661153e-05,-1.76978954621015e-05
-122.98,35.14,1.09670476885676e-06,1.96675328173458e-05,-6.15322479926515e-06
-122.94,35.14,9.9415102220234e-07,1.90248105322269e-05,1.90542904004914e-06
-122.9,35.14,1.02590817286983e-06,2.07527235107237e-05,-3.33849174809951e-06
-122.86,35.14,9.70266643734834e-07,2.58011005236013e-05,-3.57990180457678e-06
-122.82,35.14,9.10601613658554e-07,2.3605563986595e-05,4.74138720854863e-06
-122.78,35.14,9.89624733801031e-07,1.15669966233669e-05,-2.73111954048385e-06
-122.74,35.14,9.44106074792967e-07,3.74485317469478e-06,-1.36698304270924e-05
-122.7,35.14,7.16275567674761e-07,4.30064189454813e-06,-2.81601917709014e-06
-122.66,35.14,6.69341914723259e-07,5.90766926465108e-06,8.76458142508167e-06
-122.62,35.14,8.15418271807953e-07,8.41905733557468e-06,1.96964089326138e-05
-122.58,35.14,1.14369175401818e-06,8.53407940821204e-06,2.84635524338278e-05
-122.54,35.14,1.61808429458198e-06,7.53924790159852e-06,2.03429150324036e-05
-122.5,35.14,1.95713287845537e-06,6.24697634571161e-06,6.52829231487801e-06
-122.46,35.14,2.06593775037001e-06,5.77528240482915e-06,-1.15197322782111e-05
-122.42,35.14,1.87394221239982e-06,9.90862653709843e-06,-1.37716505844763e-05
-122.38,35.14,1.64441470265855e-06,8.27131665087258e-06,-2.01051571237773e-05
-122.34,35.14,1.3093287505956e-06,6.88640391937354e-06,-2.38464348713057e-05
-122.3,35.14,9.11888169407168e-07,7.77922416188976e-06,-1.21102986708206e-05
-122.26,35.14,7.10049858226825e-07,6.49982138932441e-06,8.16600019740982e-06
-122.22,35.14,8.46149861516989e-07,2.03548036519621e-06,3.33460245274607e-05
-122.18,35.14,1.40191693697467e-06,-7.81110381288754e-06,4.73314203352126e-05
-122.14,35.14,2.19077394256154e-06,-2.61514726641216e-05,3.08469803438664e-05
-122.1,35.14,2.70489028162598e-06,-4.37724673506003e-05,-8.6849237166331e-06
-122.06,35.14,2.56014155301543e-06,-4.4863666003807e-05,-2.82942292451239e-05
-122.02,35.14,2.0885710655967e-06,-3.72815386086987e-05,-3.28432612546328e-05
-121.98,35.14,1.54118337801949e-06,-2.74979728761631e-05,-2.89482498317942e-05
-121.94,35.14,1.05871254748958e-06,-1.92124069838232e-05,-6.42405535117247e-06
-121.9,35.14,9.51644958303376e-07,-1.4876671736177e-05,8.57432387711019e-06
-121.86,35.14,1.09455035625521e-06,-1.37528470072678e-05,-7.08281159013626e-06
-121.82,35.14,9.76503496419608e-07,-1.50897251132094e-05,-1.59837443943602e-05
-121.78,35.14,7.10107756513605e-07,-1.01250278028481e-05,-1.72111109655317e-05
-121.74,35.14,4.23255907088077e-07,-2.79779989226444e-07,-8.27304297743608e-06
-121.7,35.14,2.85371857464142e-07,5.65951877088185e-06,1.6358958406391e-06
-121.66,35.14,3.1263678814146e-07,7.4489222842e-06,1.57141124394831e-06
-121.62,35.14,3.38826975540599e-07,7.78819591208211e-06,1.57141124394831e-06
-123.98,35.18,1.56326045698008e-06,1.63079023730977e-05,-2.02905759840841e-05
-123.94,35.18,1.22508419057868e-06,1.17013422252256e-05,6.08053115878849e-06
-123.9,35.18,1.32642637655849e-06,-2.40497908090966e-05,3.94745688828609e-06
-123.86,35.18,1.39221732469659e-06,-2.53108202594297e-05,-7.2223733865742e-06
-123.82,35.18,1.27184443492036e-06,-2.13578801159839e-06,1.19040081177553e-05
-123.78,35.18,1.47024457021628e-06,8.46492536395678e-06,2.0512085915061e-05
-123.74,35.18,1.81211266880063e-06,3.57651311695639e-05,1.03718847461026e-05
-123.7,35.18,1.98497741456901e-06,4.42137312902017e-05,1.11774993935755e-05
-123.66,35.18,2.1712690711286e-06,3.94727393244517e-05,1.91138226064956e-05
-123.62,35.18,2.48983278123686e-06,3.29258691043253e-05,5.21799923710521e-06
-123.58,35.18,2.57679943518861e-06,1.57691509178808e-05,1.16251646940996e-05
-123.54,35.18,2.77055218009027e-06,1.94576352147703e-05,-2.39485656814285e-07
-123.5,35.18,2.7665607524767e-06,4.46219604202225e-05,-6.02218518219515e-05
-123.46,35.18,1.76286322211084e-06,4.2526341130619e-05,-2.90640470060209e-05
-123.42,35.18,1.27846243867716e-06,2.81707897542433e-05,8.76561194778602e-06
-123.38,35.18,1.42455597114026e-06,1.43984435434749e-05,-1.45264562282975e-05
-123.34,35.18,1.1824483673353e-06,1.22958645989396e-06,-2.14542388470438e-05
-123.3,35.18,8.24877719884572e-07,6.01208539402852e-06,-3.24318384732107e-06
-123.26,35.18,7.70824655762554e-07,1.82922339189648e-05,2.36350483233599e-06
-123.22,35.18,8.10216402968154e-07,1.91432068571308e-05,3.23836746285254e-06
-123.18,35.18,8.64189194015696e-07,1.92607504924056e-06,3.15771778954996e-05
-123.14,35.18,1.39047549227402e-06,-2.1592338262642e-05,2.21633950572941e-05
-123.1,35.18,1.75986540989559e-06,-2.69967388099094e-05,2.65954115493639e-06
-123.06,35.18,1.8041910958112e-06,-2.44947277837007e-05,-1.12144396890494e-05
-123.02,35.18,1.61728376766037e-06,-2.29589641567389e-05,-1.15672071108711e-05
-122.98,35.18,1.42449698247919e-06,-1.62771385941965e-05,-6.79594708438403e-06
-122.94,35.18,1.31123119773945e-06,-2.60942052620729e-07,3.63334201854594e-06
-122.9,35.18,1.37178689804855e-06,1.16702390134627e-05,1.7098852647781e-06
-122.86,35.18,1.40028498579486e-06,2.00653823549858e-05,-5.77543834158312e-06
-122.82,35.18,1.3040276801018e-06,2.64249833878672e-05,-7.29718015467944e-06
-122.78,35.18,1.18240801085715e-06,2.32767191305347e-05,-1.0553262989156e-05
-122.74,35.18,1.00652029437121e-06,1.78076539510654e-05,-1.3114041707239e-05
-122.7,35.18,7.87952932583897e-07,1.37475321488233e-05,-1.20899180698719e-06
-122.66,35.18,7.6780306913411e-07,5.39663388560993e-06,1.12759694960053e-05
-122.62,35.18,9.55735894067531e-07,-2.06074858059633e-06,1.98114310052511e-05
-122.58,35.18,1.28592641082172e-06,-5.11729968401512e-06,2.74687209272142e-05
-122.54,35.18,1.74373842627529e-06,-7.59452342066195e-06,1.90506434765167e-05
-122.5,35.18,2.0612491508839e-06,-1.14501413044371e-05,6.05659837399555e-06
-122.46,35.18,2.16219245711716e-06,-1.63188631838245e-05,-7.38638814594179e-06
-122.42,35.18,2.03908598801813e-06,-2.07418913685297e-05,-1.54089604707021e-05
