"pixel_idx","AOD"
1033,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,NA
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,NA
1055,NA
1056,NA
1057,NA
1058,NA
1059,NA
1060,NA
1061,NA
1062,NA
1063,NA
1064,NA
1065,NA
1066,NA
1067,NA
1068,NA
1069,NA
1070,NA
1071,NA
1072,NA
1073,NA
1074,NA
1075,NA
1076,NA
1077,NA
1078,NA
1079,NA
1080,NA
1081,NA
1082,0.222638285573339
1083,NA
1084,0.176402284501819
1085,NA
1086,NA
1087,0.162325990842267
1088,NA
1089,0.18639439806672
1090,NA
1091,NA
1092,0.17175941939422
1093,NA
1094,0.176440814502712
1095,NA
1096,0.215702885412611
1097,NA
1098,NA
1099,0.248607506175176
1100,NA
1101,0.229034265721566
1102,NA
1103,NA
1104,0.280780056920776
1105,NA
1106,0.323997874589016
1107,NA
1108,0.480673701553314
1109,NA
1110,NA
1111,0.665405790834484
1112,NA
1113,0.885184768927866
1114,NA
1115,NA
1116,1.45989440924677
1117,NA
1118,1.48602160285227
1119,NA
1120,1.31234377082728
1121,NA
1122,NA
1123,1.23114821561224
1124,NA
1125,1.16032365230421
1126,NA
1127,NA
1128,1.24260446921107
1129,NA
1130,1.22467517546223
1131,NA
1132,1.33340041631527
1133,NA
1134,NA
1135,1.21197311850119
1136,NA
1137,1.06117953833988
1138,NA
1139,NA
1140,0.971558756262918
1141,NA
1142,NA
1143,NA
1144,NA
1145,NA
1146,NA
1147,NA
1148,NA
1149,NA
1150,NA
1151,NA
1152,NA
1153,NA
1154,NA
1155,NA
1156,NA
1157,NA
1158,NA
1159,NA
1160,NA
1161,NA
1162,NA
1163,NA
1164,NA
1165,NA
1166,NA
1167,NA
1168,NA
1169,NA
1170,NA
1171,NA
1172,NA
1173,NA
1174,NA
1175,NA
1176,NA
1177,NA
1178,NA
1179,NA
1180,NA
1181,NA
1182,NA
1183,NA
1184,NA
1185,NA
1186,NA
1187,NA
1188,NA
1189,NA
1190,NA
1191,NA
1192,NA
1193,NA
1194,NA
1195,NA
1196,NA
1197,NA
1198,NA
1199,NA
1200,NA
1201,NA
1202,0.19401049490989
1203,NA
1204,0.182104724633973
1205,NA
1206,NA
1207,0.168644910988708
1208,NA
1209,0.198711155018827
1210,NA
1211,NA
1212,0.167103710952991
1213,NA
1214,0.154542930661895
1215,NA
1216,0.202808178447109
1217,NA
1218,NA
1219,0.244947156090348
1220,NA
1221,0.281820366944885
1222,NA
1223,NA
1224,0.442779445675114
1225,NA
1226,0.518298247425264
1227,NA
1228,0.63809444186821
1229,NA
1230,NA
1231,0.817402791357017
1232,NA
1233,1.15803111725108
1234,NA
1235,NA
1236,1.83325397089939
1237,NA
